loss,binary_accuracy,val_loss,val_binary_accuracy
0.543060839176178,0.7091675400733948,0.351992666721344,0.8349650502204895
0.25237172842025757,0.9063675999641418,0.11957336962223053,0.9678321480751038
0.14133219420909882,0.9564955830574036,0.11012943834066391,0.955244779586792
0.099342942237854,0.9727532863616943,0.055159322917461395,0.9846153855323792
0.07458741962909698,0.9813337326049805,0.03746749460697174,0.9916083812713623
0.06042398139834404,0.9832906723022461,0.030235091224312782,0.9944055676460266
0.04010407254099846,0.9900647401809692,0.021018454805016518,0.9944055676460266
0.03270495682954788,0.9917206168174744,0.019502844661474228,0.9944055676460266
0.02927294373512268,0.9918711185455322,0.018892858177423477,0.9958041906356812
0.02671157196164131,0.993075430393219,0.035235725343227386,0.9902098178863525
0.026058435440063477,0.9921721816062927,0.014719536527991295,0.9972028136253357
0.028854399919509888,0.9903658032417297,0.01658189482986927,0.9958041906356812
0.032918717712163925,0.9903658032417297,0.013143409974873066,0.9972028136253357
0.01692582294344902,0.9956344962120056,0.013569474220275879,0.9972028136253357
0.012631234712898731,0.9963871836662292,0.016574766486883163,0.9972028136253357
